pc0,pc1,pc2
2.16407943,0.590518057,-0.903208196
0.371939868,-0.296319246,-2.4709723
-0.0854743421,-1.22054744,0.186836377
-3.80517244,0.522900224,1.39387941
-0.314152747,-1.67255688,-0.386176974
-2.26662636,2.13460183,-0.907618403
2.02959991,-1.79394126,0.0734813586
0.0493846759,-0.400175452,-0.129195854
-1.23884928,0.0221230332,1.35482168
-3.5257225,-0.364820957,0.885203958
-2.21587205,-0.56712532,0.617681563
1.44012833,0.425937623,0.499311268
-3.60298347,0.293540746,-0.943537831
1.57728732,-0.189565599,-0.960958302
0.48762086,-0.480840623,0.722849309
-0.0813692361,1.04190278,0.91632849
1.10644007,0.438670844,-0.364866525
4.21605253,-1.39036381,-1.28689945
0.93470645,0.698699176,0.778929353
-2.75486159,-0.413755357,0.233451828
-0.194749102,-0.0420724861,-0.135293305
-1.96570873,0.496370673,1.77954233
-1.37282538,0.364842623,1.13540256
1.73639596,-1.61563218,0.535938144
0.992079616,-0.0515362024,0.263507754
3.29557848,1.05811775,-2.09064984
0.943500876,0.513180614,-0.236007363
0.0200411491,0.78812921,-0.0508973822
-1.05010617,1.8594718,-1.6494199
-1.42539036,-0.907273352,-0.423349857
-0.470908016,0.549508095,0.751753449
-2.87226343,-0.0621028468,-0.179866403
-0.324118465,0.312639296,-0.178133801
2.18299294,0.50174886,-0.721413016
1.77332354,-0.299946785,-0.763451874
3.47463918,-1.31315136,-0.974594831
1.12397146,0.315965712,0.0202955436
1.12716329,0.361089468,0.185141891
0.271029383,0.17454581,0.818232417
-0.25048393,-0.332110077,-0.47695592
-0.531246305,0.96693784,0.371023118
0.863904178,0.126820713,-0.132566452
-0.67963779,-0.0406782515,0.307851285
-0.867840528,-0.262421399,-0.314101517
0.45248124,0.204275176,-0.251320899
1.41357553,-0.938226998,-0.731343329
0.754517853,-0.0690882802,-0.312693328
-1.36415482,0.531354845,0.312192738
-2.60009718,-1.38998306,0.213557318
-0.0458782539,-0.699695766,0.244893849
-2.07277632,-0.31479454,0.992211521
-1.12508118,0.482057422,0.732405961
-0.754677832,-1.04311585,-1.07989991
2.3221817,0.54680419,-0.758970976
-0.559003174,0.528606296,1.06581306
-3.57064152,0.54406184,0.778623581
-1.49772286,-0.906101584,1.54949868
-0.430930197,-0.894607246,-0.640897632
-0.532543123,-0.531423509,0.662324369
-1.86061442,0.926733971,2.56266856
0.776603401,-0.56609869,0.842386782
-2.35794306,0.53255856,0.44960463
-0.449522376,-0.851844072,1.18882906
-2.31441426,0.545871556,0.692818642
2.52698088,2.48078322,0.188350767
0.684493303,-0.687084198,-0.181178838
3.16559696,0.567621291,-1.54552674
-0.127040803,0.477872014,-1.06646407
2.2794416,-0.31859383,0.113827385
-1.77650845,0.416715443,-0.225380257
-0.983084023,-0.365811288,0.656231046
1.6146574,-0.27135703,-0.291510314
3.11592293,-0.0274587013,-1.12831295
-0.524212956,0.797949314,-0.0226463322
1.96240401,-1.59061515,-2.73277903
-2.83177996,-0.0682581216,-0.251417577
-1.85553515,0.911766768,0.730679214
-4.01284122,-0.721654713,0.126211002
-1.06717145,0.681953073,0.493142426
0.52398622,0.28855899,0.148248717
-2.14470863,0.267163008,-0.116664849
5.65681696,0.231145337,-1.27985871
-0.773014784,0.147278234,0.544244468
-0.761193514,0.464568645,0.527696133
-0.435925066,0.497501612,1.2922405
1.43343771,0.512156248,-0.33428812
-0.752903223,-0.887054443,-0.266389012
-1.97163403,0.695424616,-0.220511198
-1.70713103,-0.355647296,0.17833893
-1.78551114,-0.665868759,-0.435198992
2.85082912,0.813795149,-0.643624604
-1.14633811,0.137789965,-0.73958534
-3.96536708,0.507649183,0.0282836854
0.343286723,-0.836177766,-0.315120131
-2.93439221,0.662931204,0.807948768
-2.64692545,0.511905253,-0.00043043858
1.80835712,0.0198615696,0.31436038
-2.03500986,1.30247068,-0.262856722
-0.562303245,-0.0396683775,1.8370887
3.32061839,-1.32316768,-0.503159463
-0.453255922,-0.742636204,-0.474770099
3.48647308,0.324558079,-1.95784533
-2.03262448,2.30333877,-0.286650121
4.09403658,-1.98710132,-1.21866798
-1.38745177,1.08539116,0.0530208685
2.68067002,-0.818992019,-1.73454249
0.250969112,0.539904296,0.472401023
-3.74718046,0.722925186,1.57032323
-3.56056547,-1.09675229,1.59404814
-0.410663635,-0.943622828,0.38205415
-5.60818481,1.47055149,1.15949988
0.768891096,-1.3809526,-0.189717442
1.46940839,-1.43619585,-0.815939963
2.75892282,1.09901798,-0.9466573
-0.47095114,-0.118780181,0.691117227
3.63562536,0.178515896,0.231691644
-1.55462515,0.910032451,-0.129334837
