XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
-1.59672582,-1.39214098,-0.164228812,-0.950365543,0.355016679,0.137566328,0.546993792,-1.57677436,-1.76411128
1.5525254,0.859628439,0.319310158,1.06602407,-0.307604373,1.39970243,0.133802384,1.02001226,0.997896492
-0.0962836742,-1.65194893,-0.649009883,-0.208755419,-0.213478521,-1.04622281,-0.388919115,0.492761314,-0.232130468
1.37410009,0.42527768,0.169528127,0.655017197,1.38976324,1.23642457,-0.127844349,0.893279791,0.292788059
0.41307497,1.48605514,-1.05506766,0.777562261,0.81370008,-0.766777813,-1.72540236,1.17724454,0.204616904
-0.384557813,0.478990912,0.26482746,0.509391427,-0.581106067,-0.774234653,-0.285332114,-0.194669187,1.06792176
-1.41683459,-1.89096296,-0.414635032,-1.77714849,-1.62226474,-0.983062685,-0.208857387,-1.65479529,-1.57490194
-1.44522429,0.673579276,-0.230453402,-1.0835973,-0.594846904,-0.183449253,-0.0929222926,0.838534892,1.67700708
0.430444539,-1.40382051,-1.30442357,0.126695126,-0.983843088,-0.997623324,-1.66500354,0.528674841,-1.83518112
-0.854016066,1.43171453,0.746692479,0.395708382,1.03186679,1.11482048,0.657218575,0.177448779,1.6796931
0.583909392,0.232614487,0.612195969,-0.752603292,1.16077483,0.179136187,-0.807355344,-0.820371389,-0.185395747
-0.476114213,-0.329888284,0.850528538,-0.145090431,-1.01761341,-0.911513388,-0.0552091897,-0.729163945,-0.792053819
